商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
21874168161,748949801,矽膠廚具12件 鍋鏟套裝 刮刀 料理用具 露營廚具 不沾鍋專用 不沾鍋廚具 欅木手柄 廚房用具 便攜廚具套組 野炊用具,https://shopee.tw/矽膠廚具12件-鍋鏟套裝-刮刀-料理用具-露營廚具-不沾鍋專用-不沾鍋廚具-欅木手柄-廚房用具-便攜廚具套組-野炊用具-i.748949801.21874168161?sp_atk=5e9df9dc-4744-49d6-b6e4-2bb58869eeb0&xptdk=5e9df9dc-4744-49d6-b6e4-2bb58869eeb0,630.0,4.95,83.0,臺北市大安區
14247898562,13883178,💎台灣24h出貨💎歐美豪華七件套刀具組 莫蘭迪刀具組 ins風 美型廚具 IG熱款 喬遷禮 交換禮物爆款批發 七件刀具,https://shopee.tw/💎台灣24h出貨💎歐美豪華七件套刀具組-莫蘭迪刀具組-ins風-美型廚具-IG熱款-喬遷禮-交換禮物爆款批發-七件刀具-i.13883178.14247898562?sp_atk=c5a2fde4-4e2a-41c6-9fb7-da8f35db2828&xptdk=c5a2fde4-4e2a-41c6-9fb7-da8f35db2828,237.0,4.91,125.0,彰化縣芳苑鄉
2455224371,14643272,【義大利CUOCO】廚具五件組(湯勺、濾勺、煎鏟、料理夾、掛座),https://shopee.tw/【義大利CUOCO】廚具五件組(湯勺、濾勺、煎鏟、料理夾、掛座)-i.14643272.2455224371?sp_atk=23fa6cd6-b2fe-41a0-b106-77eea0cce327&xptdk=23fa6cd6-b2fe-41a0-b106-77eea0cce327,990.0,4.94,221.0,新北市鶯歌區
6173329384,6188012,【料理新感受】 雞翅木廚具 煎鏟 鍋鏟 湯勺 炒菜鏟子 廚房用具 不沾鍋專用木質廚具 木鍋鏟 木鏟,https://shopee.tw/【料理新感受】-雞翅木廚具-煎鏟-鍋鏟-湯勺-炒菜鏟子-廚房用具-不沾鍋專用木質廚具-木鍋鏟-木鏟-i.6188012.6173329384?sp_atk=c9788909-7184-44bc-9f03-938909c7f2f1&xptdk=c9788909-7184-44bc-9f03-938909c7f2f1,82.5,4.92,619.0,宜蘭縣宜蘭市
11833251396,28969561,🔥拚全台最低價🔥矽膠廚具 不沾鍋廚具組  廚具 煎鏟 鍋鏟 湯勺 廚房用具 烘焙料理 打蛋器 餐具 烘培用具,https://shopee.tw/🔥拚全台最低價🔥矽膠廚具-不沾鍋廚具組-廚具-煎鏟-鍋鏟-湯勺-廚房用具-烘焙料理-打蛋器-餐具-烘培用具-i.28969561.11833251396?sp_atk=0c4f4cd7-4c4a-47fd-b6f2-8e50422ec45b&xptdk=0c4f4cd7-4c4a-47fd-b6f2-8e50422ec45b,29.0,4.94,29000.0,臺南市南區
12295108922,127464447,🔥台灣發貨🔥矽膠廚具12件套組 12件套裝矽膠廚具 矽膠餐具套組 不沾鍋廚具 餐具 烘培用具 廚具套組 矽膠廚具 廚具,https://shopee.tw/🔥台灣發貨🔥矽膠廚具12件套組-12件套裝矽膠廚具-矽膠餐具套組-不沾鍋廚具-餐具-烘培用具-廚具套組-矽膠廚具-廚具-i.127464447.12295108922?sp_atk=f36578ca-3569-47f6-9ec2-f39c451c14e3&xptdk=f36578ca-3569-47f6-9ec2-f39c451c14e3,348.0,4.94,84.0,臺南市安南區
1616932955,80862568,大信百貨》木屋 烹達人 原木湯勺 大中小 木煎 湯勺 湯匙 廚房用品 質感 廚具 原木餐具，木廚具,https://shopee.tw/大信百貨》木屋-烹達人-原木湯勺-大中小-木煎-湯勺-湯匙-廚房用品-質感-廚具-原木餐具，木廚具-i.80862568.1616932955?sp_atk=3c8800dd-3a59-4c8b-903b-651f2aaaf28d&xptdk=3c8800dd-3a59-4c8b-903b-651f2aaaf28d,77.5,4.96,1597.0,新竹市東區
21260914281,317420336,💛手感超好💛 快煮鍋 日式廚具組 日式矽膠廚具組 鍋鏟 菜產 湯杓 矽膠廚具 不沾鍋鏟 不沾菜鏟 三件組,https://shopee.tw/💛手感超好💛-快煮鍋-日式廚具組-日式矽膠廚具組-鍋鏟-菜產-湯杓-矽膠廚具-不沾鍋鏟-不沾菜鏟-三件組-i.317420336.21260914281?sp_atk=9d880e7d-6e29-422a-8bfa-8e2689ec0b21&xptdk=9d880e7d-6e29-422a-8bfa-8e2689ec0b21,225.0,4.77,157.0,高雄市前鎮區
15701799789,49705741,台灣現貨🔥刀具收納包 收納袋 露營 野營 戶外 野炊 餐具 刀具 廚具收納包 登山 野餐 炊具 餐具收納包 廚房 收納袋,https://shopee.tw/台灣現貨🔥刀具收納包-收納袋-露營-野營-戶外-野炊-餐具-刀具-廚具收納包-登山-野餐-炊具-餐具收納包-廚房-收納袋-i.49705741.15701799789?sp_atk=62275076-6cce-407b-b884-2a578141ca1e&xptdk=62275076-6cce-407b-b884-2a578141ca1e,380.0,4.96,97.0,新北市三重區
15902619965,353171874,現貨 12件矽膠廚具組 不沾鍋廚具組 煎鏟 鍋鏟 湯勺 烘焙料理用具 廚房用具 木柄廚具 櫸木柄廚具組 交換禮物,https://shopee.tw/現貨-12件矽膠廚具組-不沾鍋廚具組-煎鏟-鍋鏟-湯勺-烘焙料理用具-廚房用具-木柄廚具-櫸木柄廚具組-交換禮物-i.353171874.15902619965?sp_atk=84abedcc-080b-4f5c-9e4c-85c180448cd3&xptdk=84abedcc-080b-4f5c-9e4c-85c180448cd3,399.0,4.97,151.0,新北市板橋區
