商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
5065813502,2884518,Vanessdeco韓國品牌 廚具 鍋鏟組 fika適合搭配湯匙 woody pink,https://shopee.tw/Vanessdeco韓國品牌-廚具-鍋鏟組-fika適合搭配湯匙-woody-pink-i.2884518.5065813502?sp_atk=1101f070-08f8-4a4a-8d2b-f0b32343ca42&xptdk=1101f070-08f8-4a4a-8d2b-f0b32343ca42,890.0,5.0,49.0,高雄市楠梓區
14045892491,3635010,【台灣現貨】304不鏽鋼廚具 廚具組 廚具 煎鏟 鍋鏟 湯勺 廚房用具 烘焙料理 打蛋器 餐具 烘培用具,https://shopee.tw/【台灣現貨】304不鏽鋼廚具-廚具組-廚具-煎鏟-鍋鏟-湯勺-廚房用具-烘焙料理-打蛋器-餐具-烘培用具-i.3635010.14045892491?sp_atk=0ac529fe-5a2c-4fe4-85d1-d6667313e63c&xptdk=0ac529fe-5a2c-4fe4-85d1-d6667313e63c,61.5,4.94,340.0,桃園市桃園區
7791440190,71067879,日式麥稈盒裝餐具組【LifeShopping】【現貨】日式廚具 木質廚具,https://shopee.tw/日式麥稈盒裝餐具組【LifeShopping】【現貨】日式廚具-木質廚具-i.71067879.7791440190?sp_atk=12c8c52f-379f-46c5-8da9-b5c6a8039346&xptdk=12c8c52f-379f-46c5-8da9-b5c6a8039346,69.0,4.95,261.0,新北市三重區
19236304649,78672028,矽膠廚具 不沾鍋廚具組 鍋鏟 湯勺 煎鏟 鍋鏟 湯勺 打蛋器 廚房用具 烘焙料理 餐具 烘焙料理 食物夾【S012】,https://shopee.tw/矽膠廚具-不沾鍋廚具組-鍋鏟-湯勺-煎鏟-鍋鏟-湯勺-打蛋器-廚房用具-烘焙料理-餐具-烘焙料理-食物夾【S012】-i.78672028.19236304649?sp_atk=b411a8b6-2586-4a60-b79e-32bbd913c3bc&xptdk=b411a8b6-2586-4a60-b79e-32bbd913c3bc,30.0,4.95,3455.0,臺北市文山區
8667143993,285251,『台灣出貨＋免運』北歐風矽膠廚具 不沾鍋廚具 廚具 煎鏟 鍋鏟 湯勺 廚房用具 烘焙料理 打蛋器 攪拌器 矽膠刮刀 拌勺,https://shopee.tw/『台灣出貨＋免運』北歐風矽膠廚具-不沾鍋廚具-廚具-煎鏟-鍋鏟-湯勺-廚房用具-烘焙料理-打蛋器-攪拌器-矽膠刮刀-拌勺-i.285251.8667143993?sp_atk=8194f068-ce29-4e25-94eb-de3b483f15b4&xptdk=8194f068-ce29-4e25-94eb-de3b483f15b4,34.0,4.91,3675.0,桃園市蘆竹區
21801099368,15465911,【J&S】【台灣現貨】矽膠廚具 12件組 不沾鍋廚具 廚具 煎鏟 鍋鏟 湯勺 廚房用具 廚具套組 打蛋器 餐具 烘培用具,https://shopee.tw/【J-S】【台灣現貨】矽膠廚具-12件組-不沾鍋廚具-廚具-煎鏟-鍋鏟-湯勺-廚房用具-廚具套組-打蛋器-餐具-烘培用具-i.15465911.21801099368?sp_atk=f989dd91-0639-4a95-8e66-c0ca20c004bf&xptdk=f989dd91-0639-4a95-8e66-c0ca20c004bf,299.0,5.0,18.0,新北市中和區
18900308245,3546768,【RK studio】🇰🇷韓國代購🇰🇷 現貨 韓國 Schnatz 韓綜 簡約 文青 韓系 刀具組 廚具 送砧板 米色,https://shopee.tw/【RK-studio】🇰🇷韓國代購🇰🇷-現貨-韓國-Schnatz-韓綜-簡約-文青-韓系-刀具組-廚具-送砧板-米色-i.3546768.18900308245?sp_atk=29a746e1-68e1-40b1-bfa2-306491d703c9&xptdk=29a746e1-68e1-40b1-bfa2-306491d703c9,1430.0,5.0,43.0,高雄市鳥松區
12128886838,8534057,烘培八件套 硅膠廚具全套鍋鏟8套裝 迷你八件套 收納盒烘焙烹飪油刷 【小優購物】,https://shopee.tw/烘培八件套-硅膠廚具全套鍋鏟8套裝-迷你八件套-收納盒烘焙烹飪油刷-【小優購物】-i.8534057.12128886838?sp_atk=5384164e-cd57-462f-92f8-574764ae1898&xptdk=5384164e-cd57-462f-92f8-574764ae1898,189.0,4.97,302.0,新北市八里區
3467028493,2076692,【雞翅木廚具】無蠟無漆雞翅木廚具 湯勺 鍋鏟 飯勺 煎鏟 不粘鍋專用 炒菜 木勺 木頭廚具 木鏟 雞翅木鍋鏟 附發票,https://shopee.tw/【雞翅木廚具】無蠟無漆雞翅木廚具-湯勺-鍋鏟-飯勺-煎鏟-不粘鍋專用-炒菜-木勺-木頭廚具-木鏟-雞翅木鍋鏟-附發票-i.2076692.3467028493?sp_atk=731c7fac-dc7e-4254-872f-ec3101976d63&xptdk=731c7fac-dc7e-4254-872f-ec3101976d63,89.0,4.87,704.0,宜蘭縣宜蘭市
14622829363,429026806,Neoflam 矽膠長筷組 粉色 灰色 料理筷 廚房神器 廚房用品 韓國鍋具 網美鍋 網美筷 料理必備 美型廚具 拌炒用,https://shopee.tw/Neoflam-矽膠長筷組-粉色-灰色-料理筷-廚房神器-廚房用品-韓國鍋具-網美鍋-網美筷-料理必備-美型廚具-拌炒用-i.429026806.14622829363?sp_atk=7c5ef9bc-c91f-4c79-9580-0e857aca96d5&xptdk=7c5ef9bc-c91f-4c79-9580-0e857aca96d5,334.5,4.93,132.0,新北市蘆洲區
22435560464,778551013,CAMEL CROWN 露營鍋具 便攜鋁合金廚具四件套,https://shopee.tw/CAMEL-CROWN-露營鍋具-便攜鋁合金廚具四件套-i.778551013.22435560464?sp_atk=89802446-33e8-407b-9f67-a1cb583f4e19&xptdk=89802446-33e8-407b-9f67-a1cb583f4e19,749.0,4.79,21.0,中國大陸
23073431131,125759304,【晶廚歐化廚具】 廚具 訂作廚具 流理台 歐化廚具 系統廚具 系統櫃 系統衣櫃 廚房設計 系統櫃設計 (歡迎預約丈量),https://shopee.tw/【晶廚歐化廚具】-廚具-訂作廚具-流理台-歐化廚具-系統廚具-系統櫃-系統衣櫃-廚房設計-系統櫃設計-(歡迎預約丈量)-i.125759304.23073431131?sp_atk=8d975489-3ffc-466c-a276-0117c3775b0b&xptdk=8d975489-3ffc-466c-a276-0117c3775b0b,499999.0,,21.0,新北市三重區
1920848754,81941924,翔新大廚房設備㊣全新【244cm三件組(72置爐台72平台100右水) A4 流理台】不銹鋼廚房瓦斯爐台工作平台.流理台,https://shopee.tw/翔新大廚房設備㊣全新【244cm三件組(72置爐台72平台100右水)-A4-流理台】不銹鋼廚房瓦斯爐台工作平台.流理台-i.81941924.1920848754?sp_atk=049aa6ac-5c80-40ba-9e84-145d2fea0ad4&xptdk=049aa6ac-5c80-40ba-9e84-145d2fea0ad4,9200.0,4.91,74.0,
11765602848,2478934,12件矽膠廚具 不沾鍋專用 不沾鍋廚具 廚具 煎鏟 鍋鏟 湯勺 廚房用具 廚具套組 烘焙料理 打蛋器 餐具 烘培用具,https://shopee.tw/12件矽膠廚具-不沾鍋專用-不沾鍋廚具-廚具-煎鏟-鍋鏟-湯勺-廚房用具-廚具套組-烘焙料理-打蛋器-餐具-烘培用具-i.2478934.11765602848?sp_atk=e4aae6ad-7e51-4c57-8fb8-ddee10fb0482&xptdk=e4aae6ad-7e51-4c57-8fb8-ddee10fb0482,39.0,4.92,18000.0,新北市汐止區
6794957773,196061871,【台灣出貨，附發票】微波爐架 廚房伸縮置物架 伸縮式微波爐置物架 置物架 伸縮架 烤箱架 氣炸鍋架 電鍋架,https://shopee.tw/【台灣出貨，附發票】微波爐架-廚房伸縮置物架-伸縮式微波爐置物架-置物架-伸縮架-烤箱架-氣炸鍋架-電鍋架-i.196061871.6794957773?sp_atk=3d8135f9-b373-4a8c-afda-3392eb9e0f1c&xptdk=3d8135f9-b373-4a8c-afda-3392eb9e0f1c,450.0,4.89,6135.0,彰化縣線西鄉
12795754754,744804249,迷你小廚房真煮飯全套裝做飯小廚具真實版網紅迷米女孩子兒童玩具 兒童過家家廚房仿真廚具套裝 兒童廚師 角色扮演 兒童廚具,https://shopee.tw/迷你小廚房真煮飯全套裝做飯小廚具真實版網紅迷米女孩子兒童玩具-兒童過家家廚房仿真廚具套裝-兒童廚師-角色扮演-兒童廚具-i.744804249.12795754754?sp_atk=a4488f63-779b-418c-acd9-7e3a7660fa04&xptdk=a4488f63-779b-418c-acd9-7e3a7660fa04,1114.5,4.68,60.0,桃園市蘆竹區
